No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
0,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.011098
1,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000232
2,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.005002
3,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.006291
4,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000354
5,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.002031
6,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.003341
7,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000523
8,Permukiman,2500 - 3000 mm/tahun,"<0,62 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000694
9,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000034
10,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000489
11,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001147
12,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000457
13,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000442
14,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000884
15,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000517
16,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000982
17,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000974
18,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.000058
19,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000275
20,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.014181
21,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0
22,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001794
23,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000141
24,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001876
25,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000186
26,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.001098
27,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.003477
28,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.000186
29,Semak Belukar,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000161
30,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.012419
31,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.001844
32,Permukiman,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.00001
33,Perkebunan/Kebun,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.00265
34,Sawah,2500 - 3000 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000565
